Name,Result,Iterations,Total time,Avg time (ns),Avg memory (bytes),Avg allocs (ops),
BetterTestDiv(30257),false,3000000,1.311596599s,437,1,1,
BetterErat(7919),true,200000,2.083973807s,10419,4097,2,
BetterErat(106877),true,10000,1.541014367s,154101,57345,2,
SimpleTestDiv(2),true,50000000,2.025969767s,40,1,1,
SimpleTestDiv(7920),false,30000000,1.535594765s,51,1,1,
BetterTestDiv(3),true,50000000,2.334134448s,46,1,1,
SimpleTestDiv(30253),true,5000,1.468636935s,293727,1,1,
SimpleTestDiv(106879),false,10000000,1.939039362s,193,1,1,
BetterTestDiv(16),false,50000000,2.127208907s,42,1,1,
BetterTestDiv(29443),true,10000,1.418630986s,141863,1,1,
BetterTestDiv(106877),true,3000,1.55369507s,517898,1,1,
SieveErat(11),true,10000000,1.363507362s,136,16,2,
SimpleTestDiv(3),true,30000000,1.485035236s,49,1,1,
SimpleTestDiv(16),false,30000000,1.519005442s,50,1,1,
BetterErat(3),true,20000000,2.065347725s,103,4,2,
BetterErat(11),true,20000000,2.369118961s,118,8,2,
BetterErat(16),false,30000000,1.260983798s,42,1,1,
BetterErat(30257),false,30000,1.246289461s,41542,16385,2,
SieveErat(7920),false,30000000,1.253996327s,41,1,1,
SieveErat(30257),false,20000,1.762075448s,88103,32769,2,
SieveErat(106878),false,50000000,2.097573049s,41,1,1,
BetterErat(2),true,50000000,1.977958424s,39,1,1,
SimpleTestDiv(106877),true,2000,2.055181067s,1027590,1,1,
SieveErat(3),true,20000000,2.165235761s,108,8,2,
SieveErat(29443),true,20000,1.707514514s,85375,32769,2,
BetterErat(30253),true,30000,1.238122495s,41270,16385,2,
SimpleTestDiv(7919),true,20000,1.523837165s,76191,1,1,
SimpleTestDiv(29443),true,5000,1.442888848s,288577,1,1,
BetterTestDiv(7919),true,50000,1.931220266s,38624,1,1,
BetterTestDiv(7979),false,3000000,1.257401327s,419,1,1,
SieveErat(30253),true,20000,1.795082656s,89754,32769,2,
SieveErat(106879),false,3000,1.235068284s,411689,114689,2,
SimpleTestDiv(30257),false,2000000,1.735621449s,867,1,1,
SimpleTestDiv(106878),false,30000000,1.503536745s,50,1,1,
BetterTestDiv(106879),false,20000000,2.35995263s,117,1,1,
SieveErat(2),true,30000000,1.218649279s,40,1,1,
SieveErat(16),false,50000000,2.107898727s,42,1,1,
SieveErat(7979),false,100000,1.958855043s,19588,8193,2,
SieveErat(106877),true,3000,1.241829798s,413943,114689,2,
BetterErat(7920),false,30000000,1.275865979s,42,1,1,
BetterTestDiv(11),true,20000000,1.580223819s,79,1,1,
BetterTestDiv(7920),false,50000000,2.079518702s,41,1,1,
BetterErat(106879),false,10000,1.516304905s,151630,57345,2,
BetterErat(29443),true,50000,1.953160515s,39063,16385,2,
BetterErat(106878),false,30000000,1.321980165s,44,1,1,
BetterTestDiv(2),true,30000000,1.226968442s,40,1,1,
BetterTestDiv(30253),true,10000,1.471594361s,147159,1,1,
BetterTestDiv(106878),false,30000000,1.241567663s,41,1,1,
SieveErat(7919),true,100000,1.962733195s,19627,8193,2,
BetterErat(7979),false,200000,2.228951904s,11144,4097,2,
SimpleTestDiv(11),true,10000000,1.272984865s,127,1,1,
SimpleTestDiv(7979),false,2000000,1.661257905s,830,1,1,
